,train,val,test,train_label,val_label,test_label
45,normal_083,,test_045,0,,0.0
46,normal_067,,test_060,0,,0.0
47,normal_147,,test_128,0,,0.0
48,normal_042,,test_064,0,,1.0
49,tumor_086,,test_082,1,,1.0
50,tumor_110,,test_114,1,,1.0
51,tumor_064,,test_089,1,,0.0
52,normal_005,,test_097,0,,1.0
53,normal_003,,test_078,0,,0.0
54,tumor_088,,test_062,1,,0.0
55,tumor_071,,test_030,1,,1.0
56,normal_113,,test_081,0,,0.0
57,normal_156,,test_099,0,,1.0
58,normal_157,,test_021,0,,1.0
59,normal_013,,test_110,0,,1.0
60,tumor_036,,test_034,1,,0.0
61,normal_057,,test_101,0,,0.0
62,tumor_030,,test_020,1,,0.0
63,normal_074,,test_044,0,,0.0
64,normal_066,,test_105,0,,1.0
65,normal_058,,test_123,0,,0.0
66,normal_146,,test_127,0,,0.0
67,tumor_090,,test_031,1,,0.0
68,tumor_005,,test_055,1,,0.0
69,tumor_010,,test_074,1,,1.0
70,normal_048,,test_096,0,,0.0
71,normal_088,,test_040,0,,1.0
72,normal_054,,test_098,0,,0.0
73,normal_108,,test_058,0,,0.0
74,tumor_020,,test_085,1,,0.0
75,tumor_082,,test_065,1,,1.0
76,tumor_031,,test_086,1,,0.0
77,normal_152,,test_004,0,,1.0
78,normal_029,,test_120,0,,0.0
79,tumor_009,,test_043,1,,0.0
80,normal_021,,test_038,0,,1.0
81,normal_065,,test_015,0,,0.0
82,tumor_051,,test_116,1,,1.0
83,normal_012,,test_095,0,,0.0
84,normal_160,,test_026,0,,1.0
85,tumor_098,,test_126,1,,0.0
86,normal_089,,test_106,0,,0.0
87,tumor_040,,test_115,1,,0.0
88,normal_151,,test_056,0,,0.0
89,tumor_100,,test_019,1,,0.0
90,tumor_083,,test_011,1,,1.0
91,normal_036,,test_100,0,,0.0
92,normal_064,,test_079,0,,1.0
93,normal_098,,test_041,0,,0.0
94,tumor_102,,test_063,1,,0.0
95,normal_121,,test_091,0,,0.0
96,tumor_044,,test_122,1,,1.0
97,normal_133,,test_039,0,,0.0
98,tumor_053,,test_107,1,,0.0
99,tumor_019,,test_036,1,,0.0
100,tumor_068,,test_046,1,,1.0
101,normal_010,,test_075,0,,1.0
102,tumor_076,,test_111,1,,0.0
103,normal_004,,test_035,0,,0.0
104,normal_091,,test_001,0,,1.0
105,normal_095,,test_072,0,,0.0
106,normal_122,,test_024,0,,0.0
107,tumor_029,,test_094,1,,1.0
108,normal_158,,test_066,0,,1.0
109,normal_061,,test_104,0,,1.0
110,tumor_096,,test_109,1,,0.0
111,normal_119,,test_092,0,,1.0
112,normal_096,,test_027,0,,1.0
113,tumor_079,,test_087,1,,0.0
114,tumor_105,,test_017,1,,0.0
115,tumor_007,,test_047,1,,0.0
116,tumor_027,,test_050,1,,0.0
117,tumor_041,,test_076,1,,0.0
118,tumor_072,,test_129,1,,0.0
119,tumor_039,,test_033,1,,1.0
120,normal_068,,test_118,0,,0.0
121,normal_002,,test_070,0,,0.0
122,normal_159,,test_083,0,,0.0
123,tumor_011,,test_059,1,,0.0
124,normal_136,,test_012,0,,0.0
125,tumor_046,,test_117,1,,1.0
126,tumor_025,,test_005,1,,0.0
127,normal_007,,test_124,0,,0.0
128,normal_001,,test_052,0,,1.0
129,normal_077,,,0,,
130,tumor_054,,,1,,
131,normal_033,,,0,,
132,tumor_075,,,1,,
133,tumor_057,,,1,,
134,normal_070,,,0,,
135,tumor_070,,,1,,
136,normal_072,,,0,,
137,normal_117,,,0,,
138,tumor_026,,,1,,
139,normal_019,,,0,,
140,tumor_109,,,1,,
141,tumor_001,,,1,,
142,normal_110,,,0,,
143,tumor_035,,,1,,
144,normal_125,,,0,,
145,tumor_008,,,1,,
146,normal_043,,,0,,
147,tumor_050,,,1,,
148,normal_038,,,0,,
149,tumor_081,,,1,,
150,tumor_003,,,1,,
151,normal_028,,,0,,
152,normal_104,,,0,,
153,tumor_091,,,1,,
154,normal_090,,,0,,
155,tumor_014,,,1,,
156,normal_128,,,0,,
157,normal_150,,,0,,
158,normal_062,,,0,,
159,normal_094,,,0,,
160,normal_138,,,0,,
161,normal_069,,,0,,
162,tumor_061,,,1,,
163,tumor_087,,,1,,
164,normal_148,,,0,,
165,normal_044,,,0,,
166,tumor_022,,,1,,
167,normal_080,,,0,,
168,normal_154,,,0,,
169,normal_132,,,0,,
170,tumor_062,,,1,,
171,tumor_092,,,1,,
172,tumor_058,,,1,,
173,tumor_023,,,1,,
174,tumor_104,,,1,,
175,tumor_012,,,1,,
176,normal_079,,,0,,
177,tumor_016,,,1,,
178,normal_103,,,0,,
179,normal_081,,,0,,
180,tumor_047,,,1,,
181,normal_039,,,0,,
182,tumor_033,,,1,,
183,normal_118,,,0,,
184,normal_082,,,0,,
185,normal_055,,,0,,
186,normal_078,,,0,,
187,normal_140,,,0,,
188,normal_040,,,0,,
189,tumor_073,,,1,,
190,normal_123,,,0,,
191,tumor_066,,,1,,
192,normal_124,,,0,,
193,normal_030,,,0,,
194,normal_144,,,0,,
195,tumor_004,,,1,,
196,normal_020,,,0,,
197,normal_112,,,0,,
198,normal_052,,,0,,
199,tumor_038,,,1,,
200,tumor_021,,,1,,
201,tumor_085,,,1,,
202,normal_085,,,0,,
203,normal_075,,,0,,
204,tumor_074,,,1,,
205,normal_127,,,0,,
206,normal_114,,,0,,
207,tumor_108,,,1,,
208,normal_093,,,0,,
209,normal_129,,,0,,
210,normal_047,,,0,,
211,tumor_078,,,1,,
212,tumor_017,,,1,,
213,normal_076,,,0,,
214,tumor_059,,,1,,
215,normal_120,,,0,,
216,normal_153,,,0,,
217,tumor_028,,,1,,
218,tumor_065,,,1,,
219,normal_015,,,0,,
220,normal_111,,,0,,
221,tumor_015,,,1,,
222,normal_037,,,0,,
223,normal_131,,,0,,
224,normal_084,,,0,,
225,normal_053,,,0,,
226,normal_137,,,0,,
227,tumor_094,,,1,,
228,normal_025,,,0,,
229,normal_027,,,0,,
230,normal_056,,,0,,
231,tumor_069,,,1,,
232,normal_149,,,0,,
233,tumor_024,,,1,,
234,normal_073,,,0,,
235,normal_102,,,0,,
236,normal_134,,,0,,
237,normal_145,,,0,,
238,normal_045,,,0,,
239,tumor_002,,,1,,
240,normal_126,,,0,,
241,normal_135,,,0,,
242,tumor_043,,,1,,
